group,common,scientific,warrumbungle,pilliga,habitat,threatened
Emu,Emu,Dromaius novaehollandiae,common,common,"Open grassland, woodland edges, roadsides",
Waterbirds,Australian Wood Duck,Chenonetta jubata,common,common,"Farm dams, grassy flats, park edges",
Waterbirds,Pacific Black Duck,Anas superciliosa,uncommon,uncommon,"Dams, creeks, wetlands",
Waterbirds,Grey Teal,Anas gracilis,uncommon,uncommon,Shallow dams and floodouts,
Waterbirds,Australasian Grebe,Tachybaptus novaehollandiae,uncommon,uncommon,"Farm dams, still water",
Waterbirds,Little Pied Cormorant,Microcarbo melanoleucos,uncommon,uncommon,"Dams, rivers",
Waterbirds,Little Black Cormorant,Phalacrocorax sulcirostris,uncommon,uncommon,"Dams, rivers",
Waterbirds,Australasian Darter,Anhinga novaehollandiae,rare,rare,Larger dams and rivers,
Waterbirds,White-faced Heron,Egretta novaehollandiae,common,common,"Dams, wet paddocks, creeks",
Waterbirds,White-necked Heron,Ardea pacifica,uncommon,uncommon,"Flooded paddocks, dams after rain",
Waterbirds,Great Egret,Ardea alba,rare,rare,"Wetlands, larger dams",
Waterbirds,Nankeen Night-Heron,Nycticorax caledonicus,rare,rare,"Timbered creeks, roost trees",
Waterbirds,Straw-necked Ibis,Threskiornis spinicollis,uncommon,uncommon,"Grassland, wet paddocks",
Waterbirds,Australian White Ibis,Threskiornis molucca,uncommon,uncommon,"Wetlands, towns, dams",
Waterbirds,Yellow-billed Spoonbill,Platalea flavipes,rare,rare,Shallow dams,
Waterbirds,Masked Lapwing,Vanellus miles,common,common,"Grassy flats, campgrounds, dams",
Waterbirds,Black-fronted Dotterel,Elseyornis melanops,uncommon,uncommon,"Dam edges, gravel bars",
Waterbirds,Brolga,Grus rubicunda,,rare,"Open wetland, floodplain",
Quail & button-quail,Stubble Quail,Coturnix pectoralis,uncommon,uncommon,"Grassland, crop edges",
Quail & button-quail,Painted Button-quail,Turnix varius,uncommon,uncommon,Leaf-littered woodland,
Quail & button-quail,Malleefowl,Leipoa ocellata,,rare,Mallee and dense cypress,yes
Quail & button-quail,Bush Stone-curlew,Burhinus grallarius,rare,rare,Open woodland at night,yes
Pigeons & doves,Crested Pigeon,Ocyphaps lophotes,common,common,"Roadsides, camps, open woodland",
Pigeons & doves,Peaceful Dove,Geopelia placida,common,common,"Woodland, camps, gardens",
Pigeons & doves,Diamond Dove,Geopelia cuneata,uncommon,common,"Dry woodland, water points",
Pigeons & doves,Common Bronzewing,Phaps chalcoptera,uncommon,uncommon,Woodland with a shrub layer,
Pigeons & doves,Bar-shouldered Dove,Geopelia humeralis,rare,uncommon,Timbered creeks,
Pigeons & doves,Wonga Pigeon,Leucosarcia melanoleuca,uncommon,,"Wet gullies, rainforest edges",
Cuckoos,Pallid Cuckoo,Cacomantis pallidus,uncommon,uncommon,Open woodland (spring),
Cuckoos,Fan-tailed Cuckoo,Cacomantis flabelliformis,uncommon,uncommon,Forest and woodland,
Cuckoos,Horsfield's Bronze-Cuckoo,Chalcites basalis,uncommon,uncommon,Woodland,
Cuckoos,Black-eared Cuckoo,Chalcites osculans,rare,rare,Dry woodland,
Cuckoos,Channel-billed Cuckoo,Scythrops novaehollandiae,uncommon,uncommon,"Tall trees, summer migrant",
Cuckoos,Pacific Koel,Eudynamys orientalis,uncommon,uncommon,"Tall trees, summer",
Owls & night birds,Tawny Frogmouth,Podargus strigoides,uncommon,uncommon,"Woodland, camps, lodges",
